локальный идентификатор записи,идентификатор владельца стены,типы вложений,ссылка,ссылка на профиль
11995,2868562,"link, ",http://www.absentiatv.ru/images/203,https://vk.com/id2868562
5460,175907429,"link, ",http://www.absentiatv.ru/images/200,https://vk.com/id175907429
2365,51053271,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id51053271
20197,-23801213,"photo, link, ",http://bit.ly/2z6Dk87,https://vk.com/id-23801213
1318,159223653,"link, ",http://www.absentiatv.ru/images/196,https://vk.com/id159223653
2579,13396302,"link, ",http://www.absentiatv.ru/images/195,https://vk.com/id13396302
2565,156191650,"link, ",http://www.absentiatv.ru/images/191,https://vk.com/id156191650
1055,196608113,"photo, link, ",http://www.absentiatv.ru/,https://vk.com/id196608113
2362,51053271,"photo, ",nil,https://vk.com/id51053271
1233,239662467,"photo, link, ",http://www.absentiatv.ru/images/183,https://vk.com/id239662467
20141,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213
19472,144566191,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id144566191
2046,96474368,"link, ",http://www.absentiatv.ru/images/177,https://vk.com/id96474368
2045,96474368,"link, ",http://www.absentiatv.ru/images/176,https://vk.com/id96474368
7996,118488752,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id118488752
15860,17167290,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id17167290
25627,108695879,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id108695879
35828,313747537,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id313747537
26091,109790052,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id109790052
24843,16238916,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id16238916
20129,-23801213,nil,nil,https://vk.com/id-23801213
22961,113707738,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id113707738
27987,18776518,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id18776518
25058,110275672,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id110275672
26919,9472209,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id9472209
31836,7932218,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id7932218
3268,213623141,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id213623141
3266,213623141,nil,nil,https://vk.com/id213623141
20096,-23801213,"photo, photo, photo, photo, photo, photo, photo, photo, photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213
1302,194889649,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id194889649
1405,156114138,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id156114138
20050,-23801213,"link, ",https://vk.com/app5671337_-23801213,https://vk.com/id-23801213
20040,-23801213,nil,nil,https://vk.com/id-23801213
171931,-15106510,"photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-15106510
2,445470249,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id445470249
8847,31178277,"link, ",http://www.absentiatv.ru/images/141,https://vk.com/id31178277
19996,-23801213,"photo, ",nil,https://vk.com/id-23801213
84,261957197,"link, ",http://www.absentiatv.ru/images/140,https://vk.com/id261957197
97,290939178,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id290939178
19983,-23801213,nil,nil,https://vk.com/id-23801213
1412,76770087,"link, ",http://www.absentiatv.ru/images/136,https://vk.com/id76770087
4045,238709817,"link, ",http://www.absentiatv.ru/images/132,https://vk.com/id238709817
19969,-23801213,"photo, ",nil,https://vk.com/id-23801213
19958,-23801213,"photo, ",nil,https://vk.com/id-23801213
2557,13396302,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id13396302
177,360355354,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id360355354
7636,6157631,"link, ",http://www.absentiatv.ru/images/95,https://vk.com/id6157631
1695,86140374,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id86140374
19906,-23801213,"photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213
5817,38456022,"link, ",http://www.absentiatv.ru/images/81,https://vk.com/id38456022
124,235713128,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id235713128
2784,7250771,"link, ",http://www.absentiatv.ru/images/61,https://vk.com/id7250771
36,443485708,"link, ",https://vk.com/photo-8187184_456252298,https://vk.com/id443485708
262,154791112,"link, ",http://www.absentiatv.ru/images/51,https://vk.com/id154791112
19880,-23801213,"photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213
72,321127748,"link, ",http://www.absentiatv.ru/images/35,https://vk.com/id321127748
19868,-23801213,"link, ",http://thr.ru/tv/na-kanale-sony-sci-fi-sostoitsa-mirovaa-premera-seriala-amnezia-so-stanoj-katik/,https://vk.com/id-23801213
19862,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213
3,445030825,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id445030825
2033,136038680,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id136038680
505,370647024,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id370647024
3951,273302665,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id273302665
19811,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213
1134,140222514,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id140222514
6814,46763597,"photo, ",nil,https://vk.com/id46763597
6,441802762,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id441802762
253,17289807,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id17289807
7599,53556483,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id53556483
3464,153391164,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id153391164
2082,228595636,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id228595636
186,437795721,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id437795721
19774,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213
1253,-152628989,"photo, ",nil,https://vk.com/id-152628989
9573,2710558,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id2710558
22219,53198783,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id53198783
2221,317152969,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id317152969
2786,136868830,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id136868830
171201,-15106510,"photo, link, ",https://www.ivi.ru/watch/amnesia,https://vk.com/id-15106510
17,349793152,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id349793152
275,215002711,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id215002711
1470,164048098,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id164048098
19750,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213
171169,-15106510,"video, ",nil,https://vk.com/id-15106510
2218,164751409,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id164751409
82,261957197,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id261957197
21565,213499060,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id213499060
19742,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213
1011,332921508,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id332921508
10254,66551782,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id66551782
278,366583891,"photo, ",nil,https://vk.com/id366583891
1535,6781513,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id6781513
86,64204085,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id64204085
2041,260203542,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id260203542
191,211539578,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id211539578
2446,122857319,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id122857319
2040,13803497,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id13803497
10573,32250226,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id32250226
383,237859038,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id237859038
3593,14203228,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id14203228
387,186590358,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id186590358
9272,113579021,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id113579021
1381,298420246,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id298420246
33,421370378,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id421370378
789,274231911,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id274231911
2738,279483680,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id279483680
1555,22801965,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id22801965
2290,142987948,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id142987948
19670,-23801213,nil,nil,https://vk.com/id-23801213
66,349761650,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id349761650
171056,-15106510,"link, ",https://vk.com/app5671337_-23801213,https://vk.com/id-15106510
94,290939178,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id290939178
71,407392871,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id407392871
9417,62115009,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id62115009
2038,96474368,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id96474368
42,402021946,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id402021946
71,321127748,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id321127748
40,435470891,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id435470891
2558,156191650,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id156191650
19665,-23801213,"photo, ",nil,https://vk.com/id-23801213
804,20232844,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id20232844
